"","3-5","5-10","10-20","20-30","30-40","20-25","25-33","33-50","50-67","67-100","100-133","133-200","knife","img","match"
"63",0.507868462962809,0.338785820156456,0.346611136481238,0.219706742151107,0.0655688451226051,0.132874330956498,0.167556234109988,0.0984208956508812,0.0560594070526897,0.134405280869326,0.0869726494015258,0.0908772963093816,"S01:S02",3,"nonmatch"
"64",0.187505683094288,0.385842266711071,0.231449303969205,0.114750209247019,0.138503606573664,-0.0537674464840925,0.122444883328132,0.177502967184754,0.161697009003927,0.125162638566679,0.0797505567992717,0.0891174339551745,"S01:S02",4,"nonmatch"
"65",0.421744341019587,0.338909238803759,0.269560698320319,0.123042175586314,0.129378292580727,0.149149364252547,0.0498411771427433,0.135225540917018,0.0960970730712816,0.11793776679905,0.0724842125898268,0.102216422027082,"S01:S02",5,"nonmatch"
"66",-0.60466273712289,0.263485490767084,0.218546464677457,-0.0932716994974127,0.0340515142234768,-0.182386405885292,0.0565044247972375,0.128002192831546,0.0707397592189765,0.127823501346584,0.049621925415361,0.0811407216764895,"S01:S02",6,"nonmatch"
"67",0.361490639074234,0.17865601785507,0.262034453060797,0.0864758272669799,0.0842164531914811,0.0757923602497469,0.00903660324063254,0.149923307020047,0.0453903675438556,0.133946443973756,0.084402596685321,0.0858415369693696,"S01:S03",1,"nonmatch"
"68",0.639597442526573,0.623963752750524,0.356180486687404,0.108896742822985,0.042326564909694,-0.0388849574859938,0.148099680020618,0.0782834619279729,0.0504717094849749,0.11401852327763,0.040396613710952,0.0777363138293373,"S01:S03",2,"nonmatch"
"69",0.504116268399096,0.498557098370609,0.386043234471129,0.232789889009946,0.0257382627085749,0.201851757391532,0.0842351962371705,0.0940315602298563,0.0561380712790653,0.139098184649074,0.0565061262507336,0.0946739020517324,"S01:S03",3,"nonmatch"
"70",0.744903543629107,0.221699549703535,0.218303492268089,0.206563882698818,0.142166074226476,0.108018500119085,0.18776066713984,0.123832751534783,0.0952722692209769,0.127618879150667,0.0858720733685793,0.102695738627423,"S01:S03",4,"nonmatch"
"71",-0.250576087802121,0.133683678156209,0.405202215321774,0.250314532026358,0.134977980153058,0.172165165990658,0.278009366280556,0.157977006201563,0.129776297142002,0.102137958583776,0.0572778196711255,0.0937521066858758,"S01:S03",5,"nonmatch"
"72",0.191921386546806,0.261181405639988,0.330360328982359,0.138208246235121,0.163060512346938,0.169620716457919,0.119981069837162,0.131849162000715,0.142818086701682,0.0865713728453214,0.0829082523485818,0.080556475060001,"S01:S03",6,"nonmatch"
"73",-0.340766587876581,0.127598094007464,0.364013310658341,0.304663299738297,0.117045670873741,0.287006687333527,0.125883007054232,0.198500572054211,0.0457327317913912,0.0990981701540773,0.0721112383249661,0.0891129083429209,"S01:S04",1,"nonmatch"
"74",0.0543577777439887,0.473066444380379,0.378392220785989,0.208249586294824,0.13838909443121,0.0564564588486709,0.221948587029857,0.147327308852257,0.117600556240853,0.117628593913326,0.0581836602106924,0.106344722235002,"S01:S04",2,"nonmatch"
"75",-0.0575738168135953,0.587734694541446,0.366926296353762,0.148496122270165,-0.00792401973618226,0.0932958266958811,0.152170428691072,0.099722353291749,0.153173960441301,0.115581322192938,0.0371585890424472,0.0969814809909594,"S01:S04",3,"nonmatch"
"76",0.395109847449207,0.390974460906096,0.380545975273265,0.204686646494586,0.0962119586257924,0.0902893599340587,0.0842324382399369,0.196061842345268,0.146331598077922,0.109534876079343,0.0852951479481839,0.0898384940479581,"S01:S04",4,"nonmatch"
"77",-0.475647353995755,0.580253514060865,0.410437364421998,0.191150360520863,0.0971894186454034,0.11167457574861,0.0490590394891491,0.276782809932589,0.0898759314055814,0.165400245880338,0.059034686758683,0.100803875901406,"S01:S04",5,"nonmatch"
"78",0.45826875553454,0.115877991236742,0.316860608376937,0.194744176098307,0.0188416708527569,0.239303008732414,0.0702578455571253,0.140366558244659,0.0900779443738922,0.106846933000683,0.0373914273676943,0.0740891658557313,"S01:S04",6,"nonmatch"
